% X-coord,  Y-coord,  Polarization,  wavelength,  type, deviceID_params
-2011,  2928,  TE,  1550,  device, Mateo_bragg_1000N324nmPeriod500nmW20nmdW0Apo_1
-226,  3488,  TE,  1550,  device, Mateo_bragg_1000N309nmPeriod500nmW20nmdW0Apo_1
-1964,  4978,  TE,  1310,  GC, pitch_558_duty_76
-1464,  4978,  TE,  1310,  GC, pitch_558_duty_88
-1864,  4978,  TE,  1310,  GC, pitch_558_duty_78
-2364,  5178,  TE,  1310,  GC, pitch_538_duty_80
-1564,  4978,  TE,  1310,  GC, pitch_558_duty_86
-1564,  5178,  TE,  1310,  GC, pitch_570_duty_80
-2064,  4978,  TE,  1310,  GC, pitch_558_duty_74
-2164,  4978,  TE,  1310,  GC, pitch_558_duty_72
-1664,  5178,  TE,  1310,  GC, pitch_566_duty_80
-2264,  4978,  TE,  1310,  GC, pitch_558_duty_70
-1864,  5178,  TE,  1310,  GC, pitch_558_duty_80
-1764,  4978,  TE,  1310,  GC, pitch_558_duty_82
-2064,  5178,  TE,  1310,  GC, pitch_550_duty_80
-1764,  5178,  TE,  1310,  GC, pitch_562_duty_80
-2164,  5178,  TE,  1310,  GC, pitch_546_duty_80
-1664,  4978,  TE,  1310,  GC, pitch_558_duty_84
-1964,  5178,  TE,  1310,  GC, pitch_554_duty_80
-2364,  4978,  TE,  1310,  GC, pitch_578_duty_80
-1464,  5178,  TE,  1310,  GC, pitch_574_duty_80
-2264,  5178,  TE,  1310,  GC, pitch_542_duty_80
-2606,  3488,  TE,  1550,  device, Mateo_bragg_1000N301nmPeriod500nmW20nmdW0Apo_1
-4755,  5142,  TE,  1310,  device, Alignment_comment
-4655,  5142,  TE,  1310,  device, AlignmentYBranch_comment
-4955,  5142,  TE,  1550,  device, Alignment_comment
-2903,  3488,  TE,  1550,  device, Mateo_bragg_1000N300nmPeriod500nmW20nmdW0Apo_1
-2903,  2928,  TE,  1550,  device, Mateo_bragg_1000N321nmPeriod500nmW20nmdW0Apo_1
-4855,  5142,  TE,  1550,  device, AlignmentYBranch_comment
-2606,  2928,  TE,  1550,  device, Mateo_bragg_1000N322nmPeriod500nmW20nmdW0Apo_1
-2435,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N303nmPeriod500nmW20nmdW0Apo_1
-2912,  1900,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N327nmPeriod500nmW20nmdW0Apo_1
-2435,  1900,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N329nmPeriod500nmW20nmdW0Apo_1
-2912,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N301nmPeriod500nmW20nmdW0Apo_1
